,price
2987,154.0
2989,290.0
2990,222.0
2991,1099.0
2992,280.0
2995,348.0
2997,130.0
2998,400.0
2999,301.0
3000,249.0
3001,294.0
3002,400.0
3004,401.0
3005,348.0
3008,591.0
3009,208.0
3010,799.0
3011,1195.0
3012,195.0
3014,140.0
3015,700.0
3018,379.0
3019,191.0
3020,601.0
3022,301.0
3023,348.0
3025,601.0
3026,249.0
3027,348.0
3028,120.0
3029,389.0
3030,82.0
3031,758.0
3032,249.0
3034,451.0
3035,137.0
3036,1199.0
3038,348.0
3039,1001.0
3040,1089.0
3043,249.0
3044,143.0
3045,150.0
3046,307.0
3048,65.0
3049,751.0
3050,331.0
3051,420.0
3056,106.0
3057,1079.0
3058,51.0
3059,137.0
3060,249.0
3061,512.0
3065,1048.0
3067,420.0
3068,1199.0
3071,1001.0
3072,174.0
3073,239.0
3074,195.0
3075,348.0
3076,850.0
3079,249.0
3080,451.0
3082,301.0
3085,799.0
3086,256.0
3087,96.0
3089,181.0
3093,799.0
3094,550.0
3096,201.0
3097,181.0
3098,130.0
3100,249.0
3101,147.0
3102,130.0
3103,201.0
3106,99.0
3107,151.0
3108,181.0
3110,99.0
3112,287.0
3113,854.0
3118,301.0
3119,140.0
3120,301.0
3123,401.0
3124,106.0
3128,680.0
3129,109.0
3131,79.0
3132,801.0
3133,683.0
3136,451.0
3138,184.0
3140,348.0
3145,143.0
3146,273.0
3147,120.0
3150,461.0
3151,301.0
3153,201.0
3154,768.0
3155,615.0
3156,89.0
3157,257.0
3161,199.0
3163,396.0
3164,99.0
3165,1001.0
3167,239.0
3168,389.0
3169,301.0
3170,150.0
3171,233.0
3173,260.0
3175,1001.0
3176,171.0
3177,249.0
3178,250.0
3181,451.0
3183,499.0
3185,1151.0
3187,403.0
3188,249.0
3189,901.0
3190,167.0
3191,464.0
3192,130.0
3195,110.0
3196,120.0
3199,348.0
3202,901.0
3204,307.0
3205,126.0
3207,290.0
3208,140.0
3209,492.0
3211,854.0
3214,816.0
3217,499.0
3219,854.0
3221,1000.0
3223,601.0
3224,201.0
3226,669.0
3228,161.0
3229,301.0
3231,219.0
3233,301.0
3234,400.0
3235,181.0
3236,161.0
3237,683.0
3238,529.0
3239,632.0
3240,249.0
